,silhouette,calinski_harabasz,davies_bouldin
10 clusters,0.5440904498100281,1039.878023927538,0.6959268055506471
11 clusters,0.6284254789352417,1600.6127881071304,0.6123190606352649
12 clusters,0.6750345230102539,2541.1605625470406,0.4147514481730524
